date,venue,location,setlist,gaps
2011-06-14,Verizon Wireless Amphitheatre at Encore Park,"Alpharetta, GA",Dinner and a Movie | The Moma Dance | Possum | Cities | Fluffhead | Ocelot | Ginseng Sullivan | Kill Devil Falls | Bathtub Gin | Light Up Or Leave Me Alone | Cavern | Carini | Sand | Down with Disease | Maze | Meatstick | Also Sprach Zarathustra | Bug | A Day in the Life | Run Like an Antelope | Quinn the Eskimo (The Mighty Quinn),117 | 4 | 2 | 4 | 2 | 1 | 109 | 3 | 0 | 73 | 2 | 5 | 1 | 2 | 9 | 4 | 1 | 4 | 11 | 1 | 11
2011-06-15,Verizon Wireless Amphitheatre at Encore Park,"Alpharetta, GA",Paul and Silas | Back on the Train | Foam | Water in the Sky | Runaway Jim | Army of One | Roses Are Free | Timber (Jerry the Mule) | Mound | Mound | Tweezer | Julius | Slave to the Traffic Light | David Bowie | Suzy Greenberg | Gotta Jibboo | Harry Hood | Character Zero | The Birdwatcher | Kung | Funky Bitch | Tweezer Reprise,202 | 5 | 7 | 38 | 12 | 101 | 2 | 11 | 6 | 6 | 2 | 3 | 7 | 3 | 2 | 6 | 1 | 1 | 36 | 98 | 8 | 2
2011-06-17,Verizon Wireless Amphitheatre - Charlotte,"Charlotte, NC",Mike's Song | I Am Hydrogen | Weekapaug Groove | Bouncing Around the Room | NICU | Sample in a Jar | Colonel Forbin's Ascent | Fly Famous Mockingbird | Axilla | Wolfman's Brother | Scent of a Mule | Stealing Time From the Faulty Plan | Backwards Down the Number Line | Rock and Roll | Ghost | Free | Reba | Icculus | Hold Your Head Up | Bike | Hold Your Head Up | Chalk Dust Torture | You Enjoy Myself | Wilson | Loving Cup,4 | 4 | 4 | 14 | 9 | 2 | 106 | 106 | 10 | 2 | 4 | 3 | 2 | 3 | 10 | 4 | 3 | 201 | 78 | 214 | 78 | 3 | 7 | 3 | 2
2011-06-18,Time Warner Cable Music Pavilion at Walnut Creek ,"Raleigh, NC","Cars Trucks Buses | Peaches en Regalia | AC/DC Bag | Guyute | Possum | Halley's Comet | 46 Days | Divided Sky | The Ballad of Curtis Loew | Run Like an Antelope | Twist | Rift | Prince Caspian | Esther | Been Caught Stealing | Piper | My Friend, My Friend | Kill Devil Falls | Split Open and Melt | Golgi Apparatus | First Tube | Good Times Bad Times",100 | 162 | 4 | 5 | 2 | 3 | 6 | 3 | 13 | 2 | 11 | 6 | 15 | 120 | 1499 | 4 | 15 | 2 | 11 | 5 | 3 | 6
2011-06-19,nTelos Pavilion,"Portsmouth, VA",Harpua | Brother | Down with Disease | Back on the Train | Funky Bitch | Timber (Jerry the Mule) | The Wedge | The Moma Dance | Thunder Road | Tube | Alaska | David Bowie | Crosseyed and Painless | Walls of the Cave | Slave to the Traffic Light | Fluffhead | Sand | Sneakin' Sally Thru the Alley | Light | Backwards Down the Number Line | Suzy Greenberg | Julius,108 | 79 | 3 | 2 | 2 | 2 | 4 | 3 | -1 | 6 | 4 | 2 | 4 | 51 | 2 | 3 | 3 | 10 | 4 | 1 | 2 | 2
2011-06-30,Watkins Glen International,"Watkins Glen, NY",Jam | Undermind | Sleep Again | My Soul | Ginseng Sullivan | Jam,85 | 8 | 43 | 52 | 4 | 85
2011-07-01,Watkins Glen International,"Watkins Glen, NY","Possum | Peaches en Regalia | The Moma Dance | Torn and Frayed | NICU | Bathtub Gin | Life on Mars? | My Friend, My Friend | Wolfman's Brother | Roses Are Free | Funky Bitch | Quinn the Eskimo (The Mighty Quinn) | Jam | Crosseyed and Painless | Chalk Dust Torture | Sand | The Wedge | Mike's Song | Simple | Bug | The Horse | Silent in the Morning | Weekapaug Groove | Joy | Character Zero | Show of Life",2 | 2 | 1 | 85 | 3 | 5 | 916 | 2 | 3 | 4 | 1 | 5 | 0 | 1 | 3 | 1 | 1 | 3 | 16 | 5 | 7 | 7 | 3 | 8 | 4 | 7
2011-07-02,Watkins Glen International,"Watkins Glen, NY",Tube | Kill Devil Falls | Ocelot | Lawn Boy | Divided Sky | Boogie On Reggae Woman | Camel Walk | Cities | Poor Heart | 46 Days | Susskind Hotel | When the Circus Comes | Timber (Jerry the Mule) | Back on the Train | Suzy Greenberg | Monkey Man | Runaway Jim | McGrupp and the Watchful Hosemasters | Axilla | Birds of a Feather | Stash | Sample in a Jar | Heavy Things | Horn | It's Ice | The Mango Song | Rift | Scents and Subtle Sounds | Run Like an Antelope | Golden Age | Prince Caspian | Piper | Tweezer | Julius | Backwards Down the Number Line | Twist | Also Sprach Zarathustra | Harry Hood | Cavern | Golgi Apparatus | A Day in the Life | Loving Cup | Tweezer Reprise | Storage Jam | Sleeping Monkey,2 | 3 | 6 | 12 | 3 | 7 | 15 | 6 | 19 | 3 | 21 | 43 | 2 | 2 | 2 | 336 | 5 | 85 | 4 | 8 | 9 | 4 | 15 | 18 | 10 | 11 | 3 | 164 | 3 | 10 | 3 | 3 | 5 | 2 | 2 | 3 | 6 | 5 | 6 | 3 | 6 | 4 | 5 | -1 | 79
2011-07-03,Watkins Glen International,"Watkins Glen, NY",Soul Shakedown Party | AC/DC Bag | The Curtain | Colonel Forbin's Ascent | Fly Famous Mockingbird | Destiny Unbound | Big Black Furry Creature from Mars | Wilson | Mound | A Song I Heard the Ocean Sing | Time Loves a Hero | Reba | David Bowie | Big Balls | Down with Disease | No Quarter | Party Time | Ghost | Gotta Jibboo | Light | Waves | What's the Use? | Meatstick | Stealing Time From the Faulty Plan | The Star-Spangled Banner | First Tube,161 | 4 | 1274 | 5 | 5 | 90 | 10 | 5 | 6 | 82 | 79 | 5 | 3 | -1 | 3 | 16 | 8 | 5 | 6 | 3 | 9 | 11 | 7 | 5 | 81 | 4
2011-08-05,Gorge Amphitheatre,"George, WA","Kill Devil Falls | The Wedge | Bathtub Gin | Nellie Kane | My Friend, My Friend | Cavern | Taste | Roggae | Walk Away | Funky Bitch | Roses Are Free | David Bowie | Backwards Down the Number Line | Rock and Roll | Meatstick | Boogie On Reggae Woman | Farmhouse | Show of Life | Julius | Character Zero | Loving Cup",1 | 2 | 2 | 12 | 2 | 1 | 14 | 18 | 21 | 2 | 2 | 0 | 1 | 6 | 0 | 1 | 45 | 2 | 1 | 2 | 1
2011-08-06,Gorge Amphitheatre,"George, WA",Possum | The Moma Dance | Sample in a Jar | Limb By Limb | Ocelot | Poor Heart | On Your Way Down | Wolfman's Brother | Maze | Wilson | Fluffhead | Chalk Dust Torture | Tweezer | Prince Caspian | Sand | Tweezer | Birds of a Feather | Waste | Golden Age | Reba | Run Like an Antelope | Suzy Greenberg | Sanity | Tweezer Reprise,3 | 3 | 2 | 13 | 2 | 2 | 11 | 3 | 9 | 1 | 5 | 3 | 2 | 2 | 3 | 2 | 2 | 17 | 2 | 1 | 2 | 2 | 10 | 2
2011-08-08,Hollywood Bowl,"Hollywood, CA",Down with Disease | Cavern | Possum | Cities | Peaches en Regalia | Kill Devil Falls | Lawn Boy | Tube | Back on the Train | Wilson | Axilla | Split Open and Melt | Backwards Down the Number Line | Carini | Crosseyed and Painless | Twist | Piper | Mike's Song | Joy | Weekapaug Groove | 50 Ways to Leave Your Lover | Hold Your Head Up | Weekapaug Groove | Character Zero | Quinn the Eskimo (The Mighty Quinn) | Stealing Time From the Faulty Plan | Julius,2 | 1 | 0 | 3 | 4 | 1 | 3 | 3 | 3 | 0 | 3 | 7 | 1 | 10 | 4 | 3 | 3 | 4 | 4 | 4 | -1 | 8 | 4 | 1 | 4 | 2 | 1
2011-08-09,Lake Tahoe Outdoor Arena at Harveys,"Stateline, NV",Party Time | The Oh Kee Pa Ceremony | AC/DC Bag | Mellow Mood | Rift | Punch You in the Eye | Meat | David Bowie | Bouncing Around the Room | Horn | Water in the Sky | 46 Days | Gotta Jibboo | Light | Chalk Dust Torture | Slave to the Traffic Light | Free | Rocket Man | Harry Hood | Walls of the Cave | Bug | The Squirming Coil,3 | 22 | 3 | 15 | 4 | 17 | 28 | 2 | 9 | 4 | 10 | 4 | 3 | 3 | 1 | 7 | 9 | -1 | 4 | 7 | 5 | 24
2011-08-10,Lake Tahoe Outdoor Arena at Harveys,"Stateline, NV",Dogs Stole Things | Stealing Time From the Faulty Plan | Poor Heart | Alaska | Halley's Comet | It's Ice | When the Circus Comes | Ya Mar | Stash | Funky Bitch | Instant Karma! | Run Like an Antelope | Down with Disease | Runaway Jim | Ghost | Golden Age | Also Sprach Zarathustra | Sneakin' Sally Thru the Alley | Guyute | Wading in the Velvet Sea | You Enjoy Myself | Show of Life | Good Times Bad Times,616 | 1 | 2 | 8 | 9 | 5 | 5 | 23 | 5 | 3 | 17 | 2 | 1 | 5 | 4 | 2 | 5 | 8 | 9 | 14 | 10 | 3 | 9
2011-08-12,"Polo Fields, Golden Gate Park","San Francisco, CA",Kill Devil Falls | Wilson | Funky Bitch | The Moma Dance | Peaches en Regalia | Sample in a Jar | Possum | Tweezer | Mound | Suzy Greenberg | Axilla | Mike's Song | I Am Hydrogen | Weekapaug Groove | Rock and Roll | Steam | Piper | Roses Are Free | Julius | Life on Mars? | Birds of a Feather | Fluffhead | Backwards Down the Number Line | Also Sprach Zarathustra | Chalk Dust Torture | Cavern | Tweezer Reprise,2 | 2 | 0 | 3 | 2 | 3 | 2 | 3 | 5 | 3 | 2 | 2 | 11 | 2 | 4 | 14 | 2 | 4 | 2 | 7 | 3 | 3 | 2 | 0 | 1 | 2 | 3
2011-08-15,"UIC Pavilion, University of Illinois","Chicago, IL",Back on the Train | Rift | Guelah Papyrus | Scent of a Mule | Jesus Just Left Chicago | Wolfman's Brother | Anything But Me | Babylon Baby | Reba | Alumni Blues | Letter to Jimmy Page | Alumni Blues | Sand | Light | Dirt | Waves | Undermind | Steam | Fire | Camel Walk | Guyute | The Horse | Silent in the Morning | Harry Hood,3 | 2 | 17 | 12 | 15 | 4 | 212 | 29 | 4 | 89 | 89 | 89 | 4 | 2 | 24 | 6 | 9 | 0 | 24 | 7 | 1 | 8 | 8 | 2
2011-08-16,"UIC Pavilion, University of Illinois","Chicago, IL",Dinner and a Movie | Ha Ha Ha | Chalk Dust Torture | Mexican Cousin | Walls of the Cave | Runaway Jim | Foam | I Didn't Know | Ocelot | Ginseng Sullivan | The Wedge | Limb By Limb | Let It Loose | Down with Disease | Twist | Backwards Down the Number Line | Theme from the Bottom | Golden Age | A Day in the Life | You Enjoy Myself | Heavy Things | Slave to the Traffic Light | Rocky Top,15 | 16 | 1 | 98 | 3 | 2 | 14 | 112 | 5 | 10 | 6 | 5 | 187 | 2 | 4 | 1 | 19 | 2 | 8 | 2 | 8 | 3 | 18
2011-08-17,"UIC Pavilion, University of Illinois","Chicago, IL",Colonel Forbin's Ascent | Fly Famous Mockingbird | Gumbo | Possum | Weigh | Divided Sky | Alaska | Bathtub Gin | Maze | Cavern | First Tube | Crosseyed and Painless | No Quarter | Timber (Jerry the Mule) | Tweezer | Prince Caspian | Piper | Ghost | Makisupa Policeman | Sleep | Buffalo Bill | Golgi Apparatus | Character Zero | Run Like an Antelope | Funky Bitch | Show of Life | Tweezer Reprise,8 | 8 | 17 | 2 | 65 | 9 | 3 | 7 | 6 | 2 | 8 | 5 | 8 | 9 | 2 | 6 | 2 | 3 | 17 | 220 | 20 | 9 | 5 | 3 | 2 | 3 | 2
2011-09-02,Dick's Sporting Goods Park,"Commerce City, CO",Sample in a Jar | Sparkle | The Sloth | Sweet Virginia | Susskind Hotel | Strange Design | Stash | Sneakin' Sally Thru the Alley | Sparks | Scent of a Mule | Stealing Time From the Faulty Plan | Shine a Light | Split Open and Melt | The Squirming Coil | Sand | Simple | Steam | Soul Shakedown Party | Seven Below | Suzy Greenberg | Scents and Subtle Sounds | Slave to the Traffic Light | Silent in the Morning | Sanity | Sweet Adeline | Sabotage,3 | 94 | 20 | 174 | 10 | 50 | 4 | 4 | 1007 | 2 | 4 | 53 | 6 | 5 | 2 | 11 | 2 | 9 | 26 | 3 | 10 | 1 | 2 | 7 | 1427 | 1522
2011-09-03,Dick's Sporting Goods Park,"Commerce City, CO",Possum | The Moma Dance | The Wedge | Ocelot | Divided Sky | Funky Bitch | Axilla | Llama | Fast Enough for You | Wolfman's Brother | Down with Disease | Tweezer | Golden Age | Limb By Limb | Kill Devil Falls | Also Sprach Zarathustra | Light | Julius | Cavern | Run Like an Antelope | Sleeping Monkey | Tweezer Reprise,1 | 4 | 2 | 2 | 1 | 1 | 4 | 23 | 22 | 3 | 2 | 1 | 2 | 2 | 4 | 4 | 3 | 4 | 1 | 1 | 11 | 1
2011-09-04,Dick's Sporting Goods Park,"Commerce City, CO",Maze | Back on the Train | Rift | Bathtub Gin | The Way It Goes | Halfway to the Moon | Gumbo | Halley's Comet | Tube | Timber (Jerry the Mule) | Roses Are Free | Chalk Dust Torture | Rock and Roll | Come Together | Twist | Piper | Harry Hood | Roggae | Ghost | Guy Forget | Ghost | Walls of the Cave | Backwards Down the Number Line,2 | 4 | 4 | 2 | -1 | 20 | 2 | 6 | 8 | 2 | 5 | 3 | 5 | 243 | 3 | 2 | 4 | 10 | 2 | 1270 | 2 | 3 | 3
2011-09-13,Higher Ground,"South Burlington, VT",On Your Way Down | That's What Love Will Make You Do,10 | 333
2011-09-14,Champlain Valley Exposition,"Essex Junction, VT",Chalk Dust Torture | The Moma Dance | NICU | Funky Bitch | Sample in a Jar | Cavern | Bathtub Gin | Alaska | Possum | Wolfman's Brother | Julius | Carini | Down with Disease | Slave to the Traffic Light | Rock and Roll | Twist | Backwards Down the Number Line | Theme from the Bottom | Suzy Greenberg | Character Zero | Loving Cup,1 | 2 | 15 | 2 | 3 | 2 | 1 | 4 | 2 | 2 | 2 | 10 | 2 | 3 | 1 | 1 | 1 | 5 | 3 | 4 | 12
2011-09-16,Brooklyn Bowl,"Brooklyn, NY",Africa,-1
2011-10-01,Higher Ground,"South Burlington, VT","Cayman Review | Simple Twist Up Dave | Liquid Time | Gotta Jibboo | Snake Head Thumb | Burlap Sack and Pumps | Money, Love and Change | Magilla | The Devil Went Down to Georgia | Drifting | Acting the Devil | Alaska | Clint Eastwood | Push On 'Til the Day | Sand | Let Me Lie | Valentine | Winterqueen | Tuesday | Windora Bug | First Tube | Hey Ya! | Show of Life",56 | 59 | 56 | 11 | -1 | 58 | 58 | 56 | 58 | 59 | 58 | 1 | 56 | 56 | 5 | 56 | 56 | -1 | 60 | 59 | 6 | 56 | 6
2011-10-06,Thomas Wolfe Auditorium,"Asheville, NC","Gotta Jibboo | Cayman Review | Small Axe | Push On 'Til the Day | Burn That Bridge | Valentine | Frost | It Makes No Difference | Snake Head Thumb | The Devil Went Down to Georgia | Simple Twist Up Dave | In the Wee Wee Hours | Alaska | Burlap Sack and Pumps | Clint Eastwood | Liquid Time | A Case of Ice and Snow | Magilla | Sand | The Way I Feel | Money, Love and Change | Show of Life | Drifting | First Tube",0 | 0 | 60 | 0 | 60 | 0 | -1 | 59 | 0 | 0 | 0 | 66 | 0 | 0 | 0 | 0 | 162 | 0 | 0 | 68 | 0 | 0 | 0 | 0
2011-10-07,House of Blues,"Myrtle Beach, SC",Cayman Review | Burlap Sack and Pumps | Alaska | Sweet Dreams Melinda | Push On 'Til the Day | Magilla | O-o-h Child | Valentine | Let Me Lie | Snake Head Thumb | Night Speaks to a Woman | Black Dog | Shine | Sand | Liquid Time | Mozambique | Alive Again | The Devil Went Down to Georgia | The Way I Feel | Last Tube | Show of Life | Tuesday | Ocelot | The Land of Nod | Pigtail | First Tube,0 | 0 | 0 | 68 | 0 | 0 | 62 | 0 | 1 | 0 | 60 | 58 | 60 | 0 | 0 | 61 | 162 | 0 | 0 | 62 | 0 | 1 | 6 | -1 | 76 | 0
2011-10-08,Rams Head Live!,"Baltimore, MD","Cayman Review | Money, Love and Change | Valentine | Alaska | Simple Twist Up Dave | Let Me Lie | Burn That Bridge | Push On 'Til the Day | Snake Head Thumb | Pigtail | Gotta Jibboo | The Land of Nod | Night Speaks to a Woman | Burlap Sack and Pumps | Sand | Goodbye Head | A Case of Ice and Snow | Liquid Time | Frost | Drifting | Magilla | The Devil Went Down to Georgia | First Tube | Clint Eastwood | Tuesday",0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 62 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0
2011-10-11,Higher Ground,"South Burlington, VT",Sugaree,312
2011-10-12,The Wellmont Theatre,"Montclair, NJ","Burlap Sack and Pumps | Money, Love and Change | It Makes No Difference | Gotta Jibboo | Alaska | Magilla | Cayman Review | Shine | Snake Head Thumb | Pigtail | Liquid Time | Small Axe | Push On 'Til the Day | Simple Twist Up Dave | Acting the Devil | Clint Eastwood | Mr. Completely | Plasma | O-o-h Child | Goodbye Head | Sand | Sultans of Swing | First Tube | At the Gazebo | Ocelot | Show of Life | Black Dog",1 | 1 | 3 | 1 | 1 | 1 | 1 | 2 | 1 | 1 | 1 | 3 | 1 | 1 | 4 | 1 | 69 | 61 | 2 | 1 | 1 | 61 | 1 | 69 | 2 | 2 | 2
2011-10-13,The Fillmore Silver Spring,"Silver Spring, MD","In the Wee Wee Hours | Gotta Jibboo | Alive Again | The Devil Went Down to Georgia | Money, Love and Change | Burn That Bridge | Burlap Sack and Pumps | Push On 'Til the Day | Alaska | Tuesday | Black Dog | Sand | Valentine | Drifting | Simple Twist Up Dave | Liquid Time | Pigtail | Mr. Completely | Ether Sunday | Magilla | Night Speaks to a Woman | First Tube | Clint Eastwood | Heavy Things | Sultans of Swing",4 | 0 | 3 | 2 | 0 | 2 | 0 | 0 | 0 | 2 | 0 | 0 | 2 | 2 | 0 | 0 | 0 | 0 | 67 | 0 | 2 | 0 | 0 | 13 | 0
2011-10-14,The Fillmore Charlotte,"Charlotte, NC","Cayman Review | Gotta Jibboo | O-o-h Child | Burn That Bridge | Sweet Dreams Melinda | Money, Love and Change | Burlap Sack and Pumps | Pigtail | A Case of Ice and Snow | Push On 'Til the Day | Black Dog | Simple Twist Up Dave | Happy Birthday to You | Shine | Sand | Let Me Lie | Valentine | Plasma | Magilla | Heavy Things | Liquid Time | Alaska | Mr. Completely | First Tube | Show of Life | Hey Ya! | Sultans of Swing",1 | 0 | 1 | 0 | 4 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 205 | 1 | 0 | 3 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 6 | 0
2011-10-15,nTelos Wireless Pavilion,"Charlottesville, VA","Cayman Review | Push On 'Til the Day | Alaska | Burlap Sack and Pumps | Money, Love and Change | Valentine | Let Me Lie | Mozambique | Gotta Jibboo | Acting the Devil | Simple Twist Up Dave | Sand | Magilla | Burn That Bridge | The Devil Went Down to Georgia | Pigtail | Snake Head Thumb | Liquid Time | The Land of Nod | Last Tube | Goodbye Head | Mr. Completely | First Tube | Black Dog",0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 0 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 4 | 5 | 2 | 0 | 0 | 0
2011-10-16,Higher Ground,"South Burlington, VT",Refrigerator Car,-1
2011-10-21,Radio Bean,"Burlington, VT",Green Onions | Twin Killers,1884 | 278
2011-11-11,The Tabernacle,"Atlanta, GA","Gotta Jibboo | Burn That Bridge | Mozambique | Alaska | O-o-h Child | Money, Love and Change | Burlap Sack and Pumps | Cayman Review | The Devil Went Down to Georgia | Small Axe | Push On 'Til the Day | The Land of Nod | Sand | Valentine | Frost | Snake Head Thumb | Magilla | Pigtail | Simple Twist Up Dave | Let Me Lie | Liquid Time | Clint Eastwood | First Tube | Black Dog | Windora Bug | Heavy Things | Show of Life | Sultans of Swing",2 | 2 | 2 | 2 | 3 | 2 | 2 | 2 | 2 | 5 | 2 | 2 | 2 | 2 | 7 | 2 | 2 | 2 | 2 | 2 | 2 | 4 | 2 | 2 | 10 | 3 | 3 | 3
2011-11-12,Spirit of the Suwannee Music Park,"Live Oak, FL","Push On 'Til the Day | Horizon Line | Cayman Review | Spiral | Burlap Sack and Pumps | Exit Wound | Gotta Jibboo | Walls of Time | Magilla | Hand in My Pocket | Money, Love and Change | Fire From a Stick | Sand | Crumblin' Bones | Valentine | Couch Lady | O-o-h Child | Susskind Hotel | The Devil Went Down to Georgia | Dig Further Down | Simple Twist Up Dave | Skin It Back | Small Axe | Willow Tree | Shine | Can't Stand Still | Alaska | Be Good and You'll Be Lonely | Revelator | Mr. Completely | Traveled Too Far | Tuesday | Won't Get Fooled Again | Clint Eastwood | First Tube | Hap-Nappy | Down to the Nightclub | Pigtail | Heavy Things | Black Dog",0 | 50 | 0 | 52 | 0 | 56 | 0 | 50 | 0 | 51 | 0 | 52 | 0 | 51 | 0 | 53 | 0 | 17 | 0 | 58 | 0 | 51 | 0 | 53 | 4 | 50 | 0 | 53 | 55 | 3 | 53 | 5 | -1 | 0 | 0 | 51 | 50 | 0 | 0 | 0
2011-11-12,The Music Hall,"Portsmouth, NH","Push On 'Til the Day | Horizon Line | Cayman Review | Spiral | Burlap Sack and Pumps | Exit Wound | Gotta Jibboo | Walls of Time | Magilla | Hand in My Pocket | Money, Love and Change | Fire From a Stick | Sand | Crumblin' Bones | Valentine | Couch Lady | O-o-h Child | Susskind Hotel | The Devil Went Down to Georgia | Dig Further Down | Simple Twist Up Dave | Skin It Back | Small Axe | Willow Tree | Shine | Can't Stand Still | Alaska | Be Good and You'll Be Lonely | Revelator | Mr. Completely | Traveled Too Far | Tuesday | Won't Get Fooled Again | Clint Eastwood | First Tube | Hap-Nappy | Down to the Nightclub | Pigtail | Heavy Things | Black Dog",0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
2011-11-13,Lebanon Opera House,"Lebanon, NH",Another Door | Cruel World | Sideways | The Way It Goes | What Things Seem | I Miss My Mind | River Niger | Things That Make You Go Hmmm... | Babylon Baby | Sailin' Shoes | Just a Rose | Black Tambourine | Andelmans' Yard | Meat | Sound | Sugar Shack | Idea | Funky Bitch | Won't Get Fooled Again,58 | 56 | -1 | 17 | 55 | 52 | 53 | 54 | 22 | 63 | 52 | 52 | 55 | 25 | 52 | 52 | 53 | 15 | 0
2011-12-09,The Met,"Pawtucket, RI",Traveled Too Far | Sugar Shack | Traveled Too Far | Sugar Shack | The Field | Ain't Love Funny | Kryermaten | Traveled Too Far | Sugar Shack | I Miss My Mind | The Void | La La La | Traveled Too Far | Cities | Susskind Hotel | Cruel World | The Void | She Said She Said | Sugar Shack | Walls of Time | No One Receiving | Susskind Hotel | Hap-Nappy | Clone,1 | 0 | 1 | 0 | 58 | 55 | 55 | 1 | 0 | 0 | 57 | 57 | 1 | 27 | 1 | 0 | 57 | 59 | 0 | 1 | 58 | 1 | 1 | 603
2011-12-10,Calvin Theatre,"Northampton, MA",Dig Further Down | Sideways | Willow Tree | Meat | Andelmans' Yard | Barika | Don't Do It | The Beltless Buckler | Sailin' Shoes | Soulfood Man | Couch Lady | Jones | Down to the Nightclub | Can't Stand Still | Be Good and You'll Be Lonely | Sound | What Things Seem | Black Tambourine | Another Door | Things That Make You Go Hmmm...,2 | 1 | 2 | 1 | 1 | -1 | 727 | 60 | 1 | 56 | 2 | 54 | 2 | 2 | 2 | 1 | 1 | 1 | 1 | 1
2011-12-11,The Egg,"Albany, NY",Horizon Line | Only a Dream | I'm Deranged | The Way It Goes | Just a Rose | Voices | River Niger | Don't Do It | Horizon Line | Funky Bitch | Sugar Shack | Hand in My Pocket | Dig Further Down | Dream Song 22 - 'Of 1826' | Dig Further Down | Crumblin' Bones | Skin It Back | Hap-Nappy | Won't Get Fooled Again | Suzy Greenberg,3 | 61 | 58 | 2 | 2 | 62 | 2 | 0 | 3 | 2 | 1 | 3 | 0 | -1 | 0 | 3 | 3 | 1 | 2 | 18
2011-12-16,Beacon Theatre,"New York, NY",Bloodbuzz Ohio | Squalor Victoria | Murder Me Rachael | Terrible Love | Vanderlyle Crybaby Geeks,-1 | -1 | -1 | -1 | -1
2011-12-28,Madison Square Garden,"New York, NY","Free | Glide | Possum | Cities | The Ballad of Curtis Loew | Stash | Contact | Sample in a Jar | Kill Devil Falls | Bathtub Gin | Birds of a Feather | Carini | Tweezer | My Friend, My Friend | Rock and Roll | NICU | Bouncing Around the Room | Harry Hood | Bug | Tube | Rocky Top | Tweezer Reprise",30 | 200 | 20 | 3 | 39 | 24 | 139 | 20 | 23 | 20 | 28 | 20 | 23 | 33 | 20 | 20 | 30 | 22 | 30 | 22 | 26 | 23
2011-12-29,Madison Square Garden,"New York, NY",The Sloth | You Enjoy Myself | Back on the Train | The Moma Dance | Funky Bitch | Maze | Roses Are Free | Halley's Comet | Run Like an Antelope | Crosseyed and Painless | Simple | Lifeboy | Guyute | Mike's Song | Chalk Dust Torture | I Am Hydrogen | Weekapaug Groove | Show of Life | Character Zero | Loving Cup,25 | 27 | 23 | 21 | 2 | 23 | 23 | 23 | 24 | 26 | 25 | 197 | 28 | 29 | 21 | 29 | 29 | 8 | 21 | 21
2011-12-30,Madison Square Garden,"New York, NY",Punch You in the Eye | Prince Caspian | Backwards Down the Number Line | Nellie Kane | Divided Sky | Sand | Vultures | Rift | Joy | Quinn the Eskimo (The Mighty Quinn) | Wilson | Axilla | Piper | Twist | Julius | Golgi Apparatus | Also Sprach Zarathustra | The Horse | Silent in the Morning | David Bowie | The Squirming Coil | Boogie On Reggae Woman | Good Times Bad Times,32 | 27 | 22 | 35 | 25 | 7 | 46 | 24 | 33 | 33 | 30 | 25 | 24 | 22 | 22 | 27 | 25 | 29 | 26 | 32 | 26 | 35 | 31
2011-12-31,Madison Square Garden,"New York, NY",AC/DC Bag | Wolfman's Brother | Scent of a Mule | Stealing Time From the Faulty Plan | Lawn Boy | Gotta Jibboo | Farmhouse | Pebbles and Marbles | Ocelot | Fluffhead | Party Time | Light | Golden Age | Theme from the Bottom | Heavy Things | Ghost | Sneakin' Sally Thru the Alley | 46 Days | Suzy Greenberg | Cavern | Steam | Auld Lang Syne | Down with Disease | The Wedge | Alaska | Wading in the Velvet Sea | First Tube | Slave to the Traffic Light,33 | 23 | 27 | 27 | 34 | 8 | 36 | 50 | 16 | 31 | 33 | 26 | 26 | 23 | 8 | 25 | 27 | 33 | 4 | 23 | 27 | 94 | 23 | 26 | 8 | 32 | 8 | 23
2012-01-05,WNYC New Sounds Studio,"New York, NY",Deep Blue Day | Under Stars II | Weightless,-1 | -1 | -1
2012-01-06,World Financial Center Winter Garden,"New York, NY",Under Stars | The Secret Place | Matta | Signals | An Ending (Ascent) | Under Stars II | Drift | Silver Morning | Deep Blue Day | Weightless | Always Returning | Stars | Jam,-1 | -1 | -1 | -1 | -1 | 0 | -1 | -1 | 0 | 0 | -1 | -1 | 41
2012-01-26,Higher Ground,"South Burlington, VT",Jones | Ya Mar | Sailin' Shoes,8 | 35 | 8
2012-02-09,Atlanta Symphony Hall,"Atlanta, GA",First Tube | Water in the Sky | Divided Sky | Brian and Robert | Goodbye Head | Guyute (Orchestral) | Let Me Lie | Stash | Time Turns Elastic | If I Could | You Enjoy Myself | Golden Slumbers | Carry That Weight | The End | The Inlaw Josie Wales,3 | 37 | 4 | 53 | 17 | 240 | 14 | 6 | 125 | 216 | 5 | 707 | 707 | 707 | 186
