date,venue,location,setlist,gaps,artist,artistid,cancelled
1995-12-28,Worcester Centrum Centre,"Worcester, MA",Split Open and Melt | Gumbo | The Curtain | Julius | Guyute | Horn | Rift | Fast Enough for You | Possum | Timber (Jerry the Mule) | Theme from the Bottom | Wilson | Buried Alive | Tweezer | I Didn't Know | Uncle Pen | Slave to the Traffic Light | Fee | Tweezer Reprise,3 | 6 | 3 | 1 | 8 | 3 | 6 | 13 | 2 | 3 | 6 | 2 | 1 | 0 | 15 | 8 | 3 | 14 | 0,Phish,1,0
1995-12-29,Worcester Centrum Centre,"Worcester, MA","My Friend, My Friend | Poor Heart | Down with Disease | Taste That Surrounds | NICU | Stash | Fluffhead | Llama | Sweet Adeline | Makisupa Policeman | Cars Trucks Buses | Bathtub Gin | The Real Me | Bathtub Gin | McGrupp and the Watchful Hosemasters | Big Black Furry Creature from Mars | Jam | La Grange | Bouncing Around the Room | Fire | Golgi Apparatus",1 | 1 | 5 | 2 | 4 | 1 | 8 | 4 | 3 | 4 | 3 | 3 | 30 | 3 | 6 | 16 | 10 | 221 | 1 | 2 | 12,Phish,1,0
1995-12-30,Madison Square Garden,"New York, NY",Prince Caspian | Also Sprach Zarathustra | Suzy Greenberg | David Bowie | Simple | It's Ice | Kung | It's Ice | The Man Who Stepped Into Yesterday | Avenu Malkenu | The Man Who Stepped Into Yesterday | Divided Sky | Sample in a Jar | Ya Mar | Free | Harry Hood | AC/DC Bag | Lifeboy | Scent of a Mule | Cavern | Run Like an Antelope | A Day in the Life,7 | 2 | 3 | 4 | 3 | 4 | 9 | 4 | 30 | 30 | 30 | 3 | 3 | 3 | 2 | 2 | 3 | 6 | 3 | 3 | 2 | 2,Phish,1,0
1995-12-31,Madison Square Garden,"New York, NY",Punch You in the Eye | The Sloth | Reba | The Squirming Coil | Maze | Colonel Forbin's Ascent | Fly Famous Mockingbird | Shine | Fly Famous Mockingbird | Sparkle | Chalk Dust Torture | Drowned | The Lizards | Axilla (Part II) | Runaway Jim | Strange Design | Hello My Baby | Mike's Song | Digital Delay Loop Jam | Auld Lang Syne | Weekapaug Groove | Sea and Sand | You Enjoy Myself | Sanity | Frankenstein | Johnny B. Goode,7 | 4 | 4 | 4 | 3 | 15 | 15 | -1 | 15 | 3 | 3 | 32 | 3 | 13 | 3 | 11 | 3 | 4 | 11 | 82 | 4 | 32 | 9 | 150 | 6 | 58,Phish,1,0
1996-04-26,New Orleans Fairgrounds,"New Orleans, LA",Ya Mar | AC/DC Bag | Sparkle | Stash | Cars Trucks Buses | You Enjoy Myself | Wolfman's Brother | Scent of a Mule | Also Sprach Zarathustra | Harry Hood | Sample in a Jar | A Day in the Life | David Bowie | Hello My Baby | Cavern,1 | 1 | 0 | 2 | 2 | 0 | 16 | 1 | 1 | 1 | 1 | 1 | 1 | 0 | 1,Phish,1,0
1996-06-06,Joyous Lake,"Woodstock, NY",Split Open and Melt | Poor Heart | Runaway Jim | Funky Bitch | Theme from the Bottom | Big Black Furry Creature from Mars | Scent of a Mule | Highway to Hell | AC/DC Bag | You Enjoy Myself | Chalk Dust Torture | Sparkle | Stash | Waste | Character Zero | David Bowie | Fee | Sample in a Jar | Ya Mar | Fire,4 | 3 | 1 | 10 | 4 | 3 | 0 | 41 | 0 | 0 | 1 | 0 | 0 | -1 | -1 | 0 | 4 | 0 | 0 | 3,Phish,1,0
1996-07-02,Pista Speedway,"Lonigo, Italy",,,Phish,1,1
1996-07-03,Stadio Briamasco,"Trento, Italy",Runaway Jim | Stash | Sparkle | Taste | Llama,1 | 1 | 1 | 65 | 5,Phish,1,0
1996-07-05,Stadio Olimpico,"Rome, Italy",Funky Bitch | Chalk Dust Torture | AC/DC Bag | You Enjoy Myself | Scent of a Mule | David Bowie | Sweet Adeline,2 | 2 | 2 | 2 | 2 | 2 | 6,Phish,1,0
1996-07-06,Piazza del Duomo,"Pistoia, Italy",Also Sprach Zarathustra | Reba | Poor Heart | A Day in the Life | Maze | Harry Hood,4 | 5 | 3 | 4 | 5 | 4,Phish,1,0
1996-07-07,Parco Aquatica,"Milan, Italy",Sample in a Jar | Divided Sky | Bouncing Around the Room | The Curtain | Tweezer | Sweet Adeline | Uncle Pen | Cavern | Run Like an Antelope | Suzy Greenberg,4 | 7 | 8 | 9 | 9 | 1 | 9 | 5 | 7 | 7,Phish,1,0
1996-07-09,Centre International,"Deauville, France",Theme from the Bottom | Poor Heart | Taste | Cars Trucks Buses | Mike's Song | Bouncing Around the Room | Character Zero,5 | 1 | 3 | 6 | 7 | 0 | 5,Phish,1,0
1996-07-10,Le Zenith,"Paris, France",Chalk Dust Torture | Ya Mar | Split Open and Melt | Waste | David Bowie | Hello My Baby | Good Times Bad Times,3 | 6 | 6 | 6 | 3 | 7 | 14,Phish,1,0
1996-07-11,Shepherd's Bush Empire,"London, England",Runaway Jim | Cavern | Reba | I Didn't Know | Sparkle | Stash | Scent of a Mule | Sample in a Jar | Harry Hood | Bouncing Around the Room | Also Sprach Zarathustra | Maze | The Lizards | Hold Your Head Up | Terrapin | Hold Your Head Up | You Enjoy Myself | Hello My Baby | A Day in the Life,5 | 2 | 3 | 12 | 5 | 5 | 4 | 2 | 3 | 1 | 3 | 3 | 9 | 15 | 85 | 15 | 4 | 0 | 3,Phish,1,0
1996-07-12,Melkweg,"Amsterdam, Netherlands",Wilson | Divided Sky | Horn | Split Open and Melt | Ya Mar | Funky Bitch | Taste | Theme from the Bottom | Tweezer | Llama | It's Ice | Prince Caspian | Mike's Song | Run Like an Antelope | Purple Rain | Hold Your Head Up | Jam | NICU | Slave to the Traffic Light | Suzy Greenberg | David Bowie | Free | Hello My Baby | Bathtub Gin | Johnny B. Goode,13 | 3 | 13 | 1 | 1 | 5 | 2 | 2 | 3 | 6 | 11 | 11 | 2 | 3 | 50 | 0 | 12 | 12 | 13 | 3 | 1 | 11 | 0 | 12 | 10,Phish,1,0
1996-07-13,Dour Festival,"Dour, Belgium",Sample in a Jar | Runaway Jim | Cavern | Reba | Poor Heart | Split Open and Melt | Fire | Funky Bitch | Chalk Dust Torture | You Enjoy Myself,1 | 1 | 1 | 1 | 3 | 0 | 9 | 0 | 2 | 1,Phish,1,0
1996-07-15,La Marna,"Sesto Calende, Italy","My Friend, My Friend | Punch You in the Eye | Fast Enough for You | Guyute | Possum | I Didn't Know | Harry Hood | Cavern | Down with Disease | Maze | Loving Cup | Makisupa Policeman | It's Ice | Julius | Hold Your Head Up | Purple Rain | Hold Your Head Up | Uncle Pen | Run Like an Antelope | Golgi Apparatus",14 | 12 | 15 | 15 | 15 | 2 | 2 | 0 | 14 | 2 | 22 | 14 | 1 | 15 | 1 | 1 | 1 | 5 | 1 | 14,Phish,1,0
1996-07-17,Theatre Antique,"Vienne, France",Divided Sky | Sample in a Jar | David Bowie | Ya Mar | Funky Bitch,2 | 1 | 2 | 2 | 1,Phish,1,0
1996-07-18,Theatre de Verdure,"Nice, France",Julius | Cars Trucks Buses | Bouncing Around the Room | Stash | Hello My Baby | It's Ice | You Enjoy Myself,1 | 6 | 4 | 4 | 3 | 1 | 2,Phish,1,0
1996-07-19,Les ArÃ¨nes d'Arles,"Arles, France",Runaway Jim | Foam | Sweet Adeline | Waste | Chalk Dust Torture | The Squirming Coil,3 | 22 | 8 | 6 | 3 | 15,Phish,1,0
1996-07-21,The Forum,"NÃ¼remberg, Germany",Golgi Apparatus | Guelah Papyrus | Rift | Tweezer | If I Could | My Mind's Got a Mind of its Own | Split Open and Melt | The Horse | Silent in the Morning | Taste | Train Song | Fee | Timber (Jerry the Mule) | Johnny B. Goode | Llama | Theme from the Bottom | Reba | Life on Mars? | Free | Run Like an Antelope | Simple | Prince Caspian | Suzy Greenberg | Harry Hood,3 | 31 | 19 | 5 | 34 | 30 | 4 | 24 | 24 | 5 | -1 | 14 | 19 | 5 | 5 | 5 | 4 | 37 | 5 | 3 | 17 | 5 | 5 | 3,Phish,1,0
1996-07-22,Tanzbrunnen,"Cologne, Germany",Sample in a Jar | Poor Heart | Cavern | Maze | Bouncing Around the Room | Stash | A Day in the Life | You Enjoy Myself,3 | 5 | 4 | 4 | 2 | 2 | 7 | 2,Phish,1,0
1996-07-23,Markthalle,"Hamburg, Germany",AC/DC Bag | Foam | Theme from the Bottom | Gumbo | Scent of a Mule | Down with Disease | McGrupp and the Watchful Hosemasters | Hello My Baby | Also Sprach Zarathustra | Runaway Jim | Loving Cup | Sparkle | Mike's Song | I Am Hydrogen | Weekapaug Groove | Hold Your Head Up | Bike | Hold Your Head Up | Slave to the Traffic Light | Rocky Top,13 | 2 | 1 | 21 | 8 | 5 | 20 | 3 | 8 | 2 | 5 | 8 | 7 | 60 | 18 | 5 | 39 | 5 | 7 | 32,Phish,1,0
1996-07-24,The Music Hall,"Hanover, Germany",Chalk Dust Torture | Ya Mar | Julius | You Enjoy Myself | Golgi Apparatus,3 | 5 | 4 | 1 | 2,Phish,1,0
1996-07-25,Stadtpark,"Hamburg, Germany",Poor Heart | Punch You in the Eye | Sample in a Jar | It's Ice | Run Like an Antelope | Life on Mars? | Harry Hood | Cavern,2 | 7 | 2 | 5 | 3 | 3 | 3 | 2,Phish,1,0
1996-08-02,Wolf Mountain Amphitheatre,"Park City, UT",Over the Rainbow | Ya Mar | Down with Disease | Guelah Papyrus | Poor Heart | Foam | Theme from the Bottom | Golgi Apparatus | Tweezer | Hello My Baby | Possum | Runaway Jim | Simple | Taste | Free | Fluffhead | Prince Caspian | The Horse | Silent in the Morning | Run Like an Antelope | Punch You in the Eye,165 | 1 | 2 | 4 | 0 | 2 | 2 | 1 | 4 | 2 | 8 | 2 | 4 | 4 | 4 | 23 | 4 | 4 | 4 | 0 | 0,Phish,1,0
1996-08-04,Red Rocks Amphitheatre,"Morrison, CO",Chalk Dust Torture | Funky Bitch | Guyute | Fee | Split Open and Melt | The Mango Song | The Sloth | Maze | Loving Cup | AC/DC Bag | Reba | Scent of a Mule | Sample in a Jar | David Bowie | Sweet Adeline | Slave to the Traffic Light | Theme from Star Trek | Rocky Top,2 | 8 | 9 | 5 | 5 | 26 | 22 | 4 | 3 | 3 | 5 | 3 | 1 | 8 | 6 | 3 | -1 | 3,Phish,1,0
1996-08-05,Red Rocks Amphitheatre,"Morrison, CO",Wilson | Poor Heart | Guelah Papyrus | Divided Sky | Wolfman's Brother | Foam | If I Could | Julius | The Squirming Coil | Also Sprach Zarathustra | Down with Disease | It's Ice | Halley's Comet | Over the Rainbow | Waste | Talk | Train Song | Strange Design | Amazing Grace | Mike's Song | I Am Hydrogen | Weekapaug Groove | Cavern,12 | 1 | 1 | 9 | 22 | 1 | 6 | 3 | 7 | 4 | 1 | 2 | 30 | 1 | 7 | -1 | 6 | 23 | 35 | 4 | 4 | 4 | 2,Phish,1,0
1996-08-06,Red Rocks Amphitheatre,"Morrison, CO",Makisupa Policeman | Rift | Suzy Greenberg | Simple | Theme from the Bottom | The Lizards | Dinner and a Movie | Horn | Run Like an Antelope | The Curtain | Tweezer | Prince Caspian | A Day in the Life | Big Black Furry Creature from Mars | Hold Your Head Up | Purple Rain | Hold Your Head Up | Harry Hood | Tweezer Reprise | Johnny B. Goode,11 | 7 | 7 | 2 | 2 | 14 | 43 | 13 | 2 | 17 | 2 | 2 | 6 | 22 | 5 | 11 | 5 | 3 | 27 | 7,Phish,1,0
1996-08-07,Red Rocks Amphitheatre,"Morrison, CO",Punch You in the Eye | Sparkle | Stash | Ya Mar | Gumbo | Taste | Lawn Boy | Ninety-Nine Years (and One Dark Day) | Hold to a Dream | Doin' My Time | Runaway Jim | Gypsy Queen | Runaway Jim | Free | Colonel Forbin's Ascent | Fly Famous Mockingbird | Possum | Life on Mars? | You Enjoy Myself | Hello My Baby | Bouncing Around the Room | Golgi Apparatus,3 | 6 | 7 | 3 | 6 | 3 | 35 | -1 | -1 | -1 | 3 | -1 | 3 | 3 | 25 | 25 | 3 | 4 | 5 | 3 | 7 | 3,Phish,1,0
1996-08-10,Alpine Valley Music Theatre,"East Troy, WI","My Friend, My Friend | Poor Heart | AC/DC Bag | Fee | Reba | I Didn't Know | The Horse | Silent in the Morning | Rift | Bathtub Gin | Cavern | Wilson | Down with Disease | Scent of a Mule | Free | Fluffhead | Hold Your Head Up | Whipping Post | Hold Your Head Up | Harry Hood | A Day in the Life | Contact | Fire",13 | 2 | 3 | 3 | 3 | 13 | 4 | 4 | 1 | 15 | 2 | 2 | 2 | 3 | 0 | 4 | 1 | 292 | 1 | 1 | 1 | 45 | 14,Phish,1,0
1996-08-12,Deer Creek Music Center,"Noblesville, IN",Ya Mar | Split Open and Melt | Esther | Chalk Dust Torture | Weigh | It's Ice | Dog Faced Boy | Taste | The Oh Kee Pa Ceremony | Suzy Greenberg | Timber (Jerry the Mule) | Sparkle | Simple | Prince Caspian | McGrupp and the Watchful Hosemasters | Run Like an Antelope | Hello My Baby | Golgi Apparatus | Possum | Sample in a Jar,1 | 4 | 40 | 4 | 66 | 3 | 32 | 1 | 48 | 2 | 10 | 1 | 2 | 2 | 8 | 2 | 1 | 1 | 1 | 4,Phish,1,0
1996-08-13,Deer Creek Music Center,"Noblesville, IN",Divided Sky | Tube | Tela | Maze | Fast Enough for You | The Old Home Place | Punch You in the Eye | Llama | Glide | Slave to the Traffic Light | AC/DC Bag | The Lizards | Mike's Song | Lifeboy | Weekapaug Groove | Over the Rainbow | Waste | Train Song | Strange Design | Sweet Adeline | David Bowie | Sleeping Monkey | Rocky Top,4 | 32 | 35 | 5 | 15 | 40 | 2 | 11 | 51 | 5 | 1 | 3 | 4 | 29 | 4 | 4 | 4 | 4 | 4 | 5 | 5 | 40 | 5,Phish,1,0
1996-08-14,Hersheypark Stadium,"Hershey, PA",Wilson | Jam | Down with Disease | Fee | Poor Heart | Reba | The Mango Song | Gumbo | Stash | Hello My Baby | Runaway Jim | You Enjoy Myself | The Horse | Silent in the Morning | Cars Trucks Buses | Tweezer | Theme from the Bottom | Hold Your Head Up | Cracklin' Rosie | Hold Your Head Up | Sample in a Jar | Tweezer Reprise | Julius,2 | 18 | 2 | 2 | 2 | 2 | 6 | 3 | 3 | 1 | 3 | 3 | 2 | 2 | 14 | 4 | 4 | 2 | 58 | 2 | 1 | 4 | 5,Phish,1,0
1996-08-15,Plattsburgh Air Force Base,"Plattsburgh, NY",Jam | Hold Your Head Up | Jam | Jam,0 | 0 | 0 | 0,Phish,1,1
1996-08-16,Plattsburgh Air Force Base,"Plattsburgh, NY",Chalk Dust Torture | Bathtub Gin | Ya Mar | AC/DC Bag | Esther | Divided Sky | Halley's Comet | David Bowie | Split Open and Melt | Sparkle | Free | The Squirming Coil | Waste | Talk | Train Song | Strange Design | Hello My Baby | Mike's Song | Simple | Contact | Weekapaug Groove | Makisupa Policeman | Also Sprach Zarathustra | Down with Disease | NICU | Life on Mars? | Harry Hood | Jam | Amazing Grace | Flatbed Truck Jam,3 | 4 | 3 | 2 | 3 | 2 | 7 | 2 | 3 | 3 | 4 | 7 | 2 | 7 | 2 | 2 | 1 | 2 | 3 | 4 | 2 | 6 | 7 | 1 | 20 | 5 | 4 | 0 | 7 | -1,Phish,1,0
1996-08-17,Plattsburgh Air Force Base,"Plattsburgh, NY",The Old Home Place | Punch You in the Eye | Reba | Cars Trucks Buses | The Lizards | Sample in a Jar | Taste | Fee | Maze | Suzy Greenberg | The Curtain | Runaway Jim | It's Ice | Brother | Fluffhead | Run Like an Antelope | Golgi Apparatus | Slave to the Traffic Light | Wilson | Frankenstein | Scent of a Mule | Tweezer | A Day in the Life | Possum | Tweezer Reprise | Harpua,3 | 3 | 2 | 2 | 3 | 2 | 4 | 2 | 3 | 4 | 7 | 2 | 4 | 265 | 5 | 4 | 4 | 3 | 2 | 32 | 5 | 2 | 5 | 4 | 2 | 65,Phish,1,0
1996-10-16,Olympic Center,"Lake Placid, NY",Cars Trucks Buses | Down with Disease | Wilson | Buried Alive | Poor Heart | Billy Breathes | Mound | Sample in a Jar | It's Ice | The Horse | Silent in the Morning | Character Zero | Wolfman's Brother | Taste | Train Song | Simple | Swept Away | Steep | Prince Caspian | Run Like an Antelope | The Squirming Coil | Johnny B. Goode | Waste,0 | 1 | 0 | 36 | 3 | 43 | 48 | 0 | 0 | 3 | 3 | 25 | 9 | 0 | 1 | 1 | -1 | -1 | 5 | 0 | 1 | 8 | 1,Phish,1,0
1996-10-17,"Bryce Jordan Center, Penn State University","State College, PA",Also Sprach Zarathustra | Funky Bitch | Sparkle | Tweezer | Theme from the Bottom | Talk | Punch You in the Eye | Character Zero | A Day in the Life | Tweezer Reprise | Ya Mar | Chalk Dust Torture | Bathtub Gin | Scent of a Mule | Free | The Lizards | The Star-Spangled Banner | David Bowie | Golgi Apparatus,2 | 11 | 2 | 1 | 4 | 2 | 1 | 0 | 1 | 1 | 2 | 2 | 2 | 1 | 2 | 1 | -1 | 2 | 1,Phish,1,0
1996-10-18,Civic Arena,"Pittsburgh, PA",Runaway Jim | Guelah Papyrus | The Old Home Place | Cars Trucks Buses | Stash | Strange Design | Divided Sky | Billy Breathes | Taste | Sample in a Jar | Suzy Greenberg | Maze | You Enjoy Myself | Reba | Waste | Harry Hood | Julius,2 | 11 | 2 | 1 | 5 | 3 | 3 | 1 | 1 | 1 | 2 | 2 | 5 | 2 | 1 | 3 | 5,Phish,1,0
1996-10-19,Marine Midland Arena,"Buffalo, NY","My Friend, My Friend | Rift | Free | Esther | Llama | Gumbo | Down with Disease | Prince Caspian | Frankenstein | AC/DC Bag | Sparkle | Slave to the Traffic Light | Bouncing Around the Room | Split Open and Melt | Fluffhead | Swept Away | Steep | Run Like an Antelope | Hello My Baby | Fee | Rocky Top",9 | 9 | 1 | 4 | 7 | 6 | 2 | 2 | 3 | 4 | 1 | 3 | 10 | 4 | 3 | 2 | 2 | 2 | 4 | 3 | 7,Phish,1,0
1996-10-21,Madison Square Garden,"New York, NY",The Star-Spangled Banner | Sample in a Jar | Cars Trucks Buses | The Sloth | Divided Sky | Character Zero | Ginseng Sullivan | Stash | Waste | Possum | Wilson | Chalk Dust Torture | Wolfman's Brother | Reba | Train Song | Maze | Life on Mars? | Simple | The Horse | Silent in the Morning | David Bowie | Funky Bitch,2 | 1 | 1 | 14 | 1 | 2 | 105 | 1 | 1 | 4 | 3 | 2 | 3 | 1 | 3 | 1 | 5 | 3 | 3 | 3 | 2 | 2,Phish,1,0
1996-10-22,Madison Square Garden,"New York, NY",The Curtain | Runaway Jim | Bouncing Around the Room | It's Ice | Talk | Split Open and Melt | Sparkle | Free | You Enjoy Myself | Also Sprach Zarathustra | Down with Disease | Taste | The Mango Song | Lawn Boy | Scent of a Mule | Mike's Song | Swept Away | Steep | Weekapaug Groove | All Along the Watchtower,5 | 2 | 1 | 4 | 3 | 1 | 1 | 1 | 2 | 3 | 1 | 2 | 8 | 12 | 3 | 6 | 1 | 1 | 6 | 233,Phish,1,0
1996-10-23,Hartford Civic Center,"Hartford, CT",Punch You in the Eye | Poor Heart | AC/DC Bag | Foam | Hello My Baby | Character Zero | Rift | Theme from the Bottom | Run Like an Antelope | Brother | Ya Mar | Tweezer | The Lizards | Llama | Suzy Greenberg | Slave to the Traffic Light | Julius | Chalk Dust Torture,4 | 5 | 2 | 15 | 2 | 1 | 2 | 4 | 2 | 6 | 4 | 4 | 4 | 2 | 3 | 2 | 3 | 1,Phish,1,0
1996-10-25,Hampton Coliseum,"Hampton, VA",Ha Ha Ha | Taste | Makisupa Policeman | Maze | Billy Breathes | Mound | Guelah Papyrus | I Didn't Know | Stash | The Squirming Coil | Tube | Prince Caspian | Timber (Jerry the Mule) | The Man Who Stepped Into Yesterday | Avenu Malkenu | The Man Who Stepped Into Yesterday | NICU | Free | Strange Design | Harry Hood | Cavern | The Star-Spangled Banner | Johnny B. Goode,46 | 1 | 8 | 2 | 4 | 6 | 4 | 13 | 2 | 6 | 11 | 3 | 12 | 41 | 41 | 41 | 8 | 1 | 4 | 4 | 13 | 2 | 6,Phish,1,0
1996-10-26,Charlotte Coliseum,"Charlotte, NC",Julius | Cars Trucks Buses | Wolfman's Brother | Reba | Train Song | Character Zero | It's Ice | Theme from the Bottom | Sample in a Jar | Down with Disease | You Enjoy Myself | Sparkle | Simple | McGrupp and the Watchful Hosemasters | Waste | Run Like an Antelope | Fire,1 | 3 | 3 | 3 | 3 | 1 | 2 | 1 | 3 | 2 | 2 | 2 | 3 | 13 | 3 | 1 | 14,Phish,1,0
1996-10-27,North Charleston Coliseum,"North Charleston, SC",Runaway Jim | Punch You in the Eye | AC/DC Bag | Fee | Scent of a Mule | Catapult | Scent of a Mule | Split Open and Melt | Talk | Taste | Suzy Greenberg | Chalk Dust Torture | Bathtub Gin | Rift | Prince Caspian | Ya Mar | Tweezer | Fluffhead | Life on Mars? | Tweezer Reprise | Possum | Carolina,3 | 2 | 2 | 5 | 3 | 58 | 3 | 3 | 3 | 1 | 2 | 2 | 7 | 2 | 1 | 2 | 2 | 5 | 4 | 7 | 4 | 65,Phish,1,0
1996-10-29,Leon County Civic Center,"Tallahassee, FL",Chalk Dust Torture | Guelah Papyrus | Cars Trucks Buses | Taste | Bouncing Around the Room | Stash | Train Song | Billy Breathes | Poor Heart | David Bowie | Rift | Mike's Song | The Horse | Silent in the Morning | Weekapaug Groove | The Wedge | Character Zero | Suspicious Minds | Hold Your Head Up | Slave to the Traffic Light | Hello My Baby | Good Times Bad Times,0 | 2 | 1 | 0 | 4 | 2 | 1 | 2 | 3 | 5 | 0 | 4 | 5 | 5 | 4 | 71 | 1 | 49 | 12 | 3 | 3 | 34,Phish,1,0
1996-10-31,The Omni,"Atlanta, GA",Sanity | Highway to Hell | Down with Disease | You Enjoy Myself | Prince Caspian | Reba | Colonel Forbin's Ascent | Fly Famous Mockingbird | Character Zero | The Star-Spangled Banner | Born Under Punches (The Heat Goes On) | Crosseyed and Painless | The Great Curve | Once in a Lifetime | Houses in Motion | Seen and Not Seen | Listening Wind | The Overload | Brother | Also Sprach Zarathustra | Maze | Simple | Swept Away | Steep | Jesus Just Left Chicago | Suzy Greenberg | Frankenstein,44 | 42 | 2 | 2 | 1 | 2 | 18 | 18 | 0 | 3 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 4 | 5 | 3 | 2 | 5 | 5 | 77 | 1 | 7,Phish,1,0
1996-11-02,Coral Sky Amphitheater,"West Palm Beach, FL",Ya Mar | Julius | Fee | Taste | Cavern | Stash | The Lizards | Free | Johnny B. Goode | Crosseyed and Painless | Run Like an Antelope | Waste | Harry Hood | A Day in the Life | Sweet Adeline | Funky Bitch,2 | 3 | 2 | 1 | 4 | 1 | 5 | 4 | 4 | 0 | 3 | 3 | 4 | 10 | 16 | 7,Phish,1,0
1996-11-03,"O'Connell Center, University of Florida","Gainesville, FL","My Friend, My Friend | Runaway Jim | Billy Breathes | The Sloth | NICU | Sample in a Jar | Theme from the Bottom | Bouncing Around the Room | Character Zero | Timber (Jerry the Mule) | Divided Sky | Wolfman's Brother | Sparkle | Tweezer | Life on Mars? | Possum | Tweezer Reprise | Fire",9 | 3 | 2 | 8 | 5 | 4 | 4 | 2 | 1 | 5 | 8 | 4 | 4 | 3 | 3 | 3 | 3 | 4,Phish,1,0
1996-11-06,Knoxville Civic Coliseum,"Knoxville, TN",Split Open and Melt | Cars Trucks Buses | Fast Enough for You | Taste | Train Song | Poor Heart | Punch You in the Eye | Billy Breathes | David Bowie | Wilson | The Curtain | Mike's Song | Swept Away | Steep | Weekapaug Groove | Scent of a Mule | Sample in a Jar | Funky Bitch | Rocky Top,4 | 3 | 18 | 1 | 3 | 3 | 4 | 0 | 3 | 9 | 8 | 3 | 2 | 2 | 3 | 4 | 0 | 1 | 10,Phish,1,0
1996-11-07,Rupp Arena,"Lexington, KY",Chalk Dust Torture | Weigh | Rift | Guelah Papyrus | Stash | Waste | Guyute | Free | Tela | Character Zero | Suzy Greenberg | Bathtub Gin | Hold Your Head Up | Bike | Hold Your Head Up | You Enjoy Myself | Frankenstein,4 | 20 | 4 | 4 | 2 | 2 | 25 | 2 | 19 | 1 | 3 | 5 | 4 | 29 | 4 | 3 | 3,Phish,1,0
1996-11-08,"Assembly Hall, University of Illinois","Champaign, IL",Runaway Jim | Axilla | All Things Reconsidered | Mound | Down with Disease | Prince Caspian | Reba | Golgi Apparatus | Run Like an Antelope | Also Sprach Zarathustra | Maze | Bouncing Around the Room | Simple | Loving Cup | Mike's Song | The Star-Spangled Banner | Weekapaug Groove | Theme from the Bottom,2 | 175 | 110 | 8 | 4 | 4 | 4 | 14 | 3 | 4 | 4 | 2 | 4 | 26 | 1 | 4 | 1 | 2,Phish,1,0
1996-11-09,The Palace of Auburn Hills,"Auburn Hills, MI",Buried Alive | Poor Heart | The Sloth | Divided Sky | Horn | Tube | Talk | Split Open and Melt | The Lizards | Character Zero | David Bowie | A Day in the Life | You Enjoy Myself | Taste | Swept Away | Steep | Harry Hood | Julius,16 | 2 | 3 | 3 | 25 | 9 | 7 | 2 | 4 | 1 | 2 | 4 | 1 | 2 | 2 | 2 | 4 | 4,Phish,1,0
1996-11-11,Van Andel Arena,"Grand Rapids, MI",Chalk Dust Torture | Guelah Papyrus | Cars Trucks Buses | AC/DC Bag | Sparkle | Brother | Theme from the Bottom | Axilla | Runaway Jim | Timber (Jerry the Mule) | Divided Sky | Gumbo | The Curtain | Sample in a Jar | Tweezer | Swept Away | Steep | Maze | Contact | Slave to the Traffic Light | Waste | Cavern,2 | 2 | 3 | 8 | 4 | 6 | 1 | 1 | 1 | 4 | 0 | 14 | 3 | 3 | 4 | 0 | 0 | 1 | 19 | 7 | 2 | 5,Phish,1,0
1996-11-12,Target Center,"Minneapolis, MN",The Star-Spangled Banner,2,Phish,1,1
1996-11-13,Target Center,"Minneapolis, MN",Down with Disease | Bouncing Around the Room | It's Ice | Ya Mar | Taste | Train Song | Reba | Character Zero | Sweet Adeline | Also Sprach Zarathustra | Suzy Greenberg | Jam | Prince Caspian | You Enjoy Myself | Theme from the Bottom | Golgi Apparatus | Good Times Bad Times,3 | 3 | 11 | 7 | 2 | 5 | 3 | 2 | 7 | 3 | 4 | 21 | 3 | 2 | 1 | 3 | 9,Phish,1,0
1996-11-14,Hilton Coliseum,"Ames, IA",AC/DC Bag | Uncle Pen | Wolfman's Brother | Cars Trucks Buses | Free | All Things Reconsidered | Bathtub Gin | Talk | Julius | Llama | Sample in a Jar | Taste | Swept Away | Steep | Scent of a Mule | Life on Mars? | Demand | Run Like an Antelope | A Day in the Life | Stash | Hello My Baby,2 | 41 | 7 | 2 | 5 | 4 | 5 | 3 | 3 | 14 | 2 | 0 | 2 | 2 | 6 | 7 | 66 | 4 | 3 | 5 | 10,Phish,1,0
1996-11-15,Kiel Center,"St. Louis, MO",Wilson | Divided Sky | Bouncing Around the Room | Character Zero | Punch You in the Eye | Prince Caspian | Ginseng Sullivan | Train Song | Chalk Dust Torture | Taste | Cavern | Makisupa Policeman | Maze | McGrupp and the Watchful Hosemasters | Split Open and Melt | The Man Who Stepped Into Yesterday | Avenu Malkenu | My Mind's Got a Mind of its Own | Mike's Song | Sleeping Monkey | Mean Mr. Mustard | Weekapaug Groove | Funky Bitch,7 | 3 | 1 | 1 | 7 | 1 | 17 | 1 | 3 | 0 | 3 | 14 | 3 | 13 | 4 | 14 | 14 | 38 | 5 | 26 | -1 | 5 | 7,Phish,1,0
